,Цена квартиры,Тип квартиры,Станция метро,Минут до метро,Регион,Кол-во комнат,Площадь,Жилая площадь,Площадь кухни,Этаж,Ремонт
9339,31000000.0,Вторичноё жильё,Мнёвники,12.0,Москва,3.0,68.0,44.0,15.0,20.0,Европейский стиль
9338,31000000.0,Вторичноё жильё,Мнёвники,12.0,Москва,3.0,63.0,40.0,11.9,18.0,Дизайнерский
9337,28000000.0,Вторичноё жильё,Шелепиха,13.0,Москва,3.0,79.1,42.1,20.0,10.0,Европейский стиль
9336,23000000.0,Вторичноё жильё,Рижская,3.0,Москва,3.0,66.6,47.5,7.3,8.0,Косметический
9335,16550000.0,Вторичноё жильё,Отрадное,12.0,Москва,3.0,65.9,39.8,8.0,4.0,Косметический
18410,21988171.0,Новостройка,Каширская,4.0,Москва,3.0,85.14,45.2,13.7,3.0,Европейский стиль
18409,18393864.0,Новостройка,Каширская,4.0,Москва,3.0,65.15,35.1,12.0,9.0,Европейский стиль
18408,22071623.0,Новостройка,Каширская,4.0,Москва,3.0,84.66,44.9,13.6,6.0,Европейский стиль
18407,17405372.0,Новостройка,Каширская,4.0,Москва,3.0,63.39,34.2,11.9,4.0,Косметический
18405,17481121.0,Новостройка,Каширская,4.0,Москва,3.0,63.27,34.1,11.9,6.0,Европейский стиль
18404,20592314.0,Новостройка,Каширская,4.0,Москва,3.0,71.37,38.2,12.5,18.0,Европейский стиль
18403,20173801.0,Новостройка,Каширская,4.0,Москва,3.0,71.37,38.2,12.5,11.0,Европейский стиль
18402,19427056.0,Новостройка,Каширская,4.0,Москва,3.0,67.7,36.4,12.2,10.0,Европейский стиль
18401,20114207.0,Новостройка,Каширская,4.0,Москва,3.0,71.37,38.2,12.5,10.0,Европейский стиль
18433,19380367.0,Новостройка,Варшавская,6.0,Москва,3.0,87.9,46.6,13.9,9.0,Европейский стиль
18421,17677020.0,Новостройка,Каширская,4.0,Москва,3.0,67.32,36.2,12.2,11.0,Европейский стиль
18420,19952863.0,Новостройка,Каширская,4.0,Москва,3.0,74.35,39.7,12.8,9.0,Европейский стиль
18419,16627528.0,Новостройка,Каширская,4.0,Москва,3.0,67.74,36.4,12.2,2.0,Косметический
18418,16887020.0,Новостройка,Каширская,4.0,Москва,3.0,67.32,36.2,12.2,9.0,Косметический
18417,19892788.0,Новостройка,Каширская,4.0,Москва,3.0,74.35,39.7,12.8,8.0,Европейский стиль
18448,20848100.0,Новостройка,Аннино,7.0,Москва,3.0,110.6,52.4,18.6,13.0,Европейский стиль
18447,20552300.0,Новостройка,Аннино,7.0,Москва,3.0,110.2,52.2,18.1,9.0,Европейский стиль
18446,20123420.0,Новостройка,Каширская,6.0,Москва,3.0,74.15,39.6,12.8,2.0,Европейский стиль
18443,16172289.0,Новостройка,Варшавская,6.0,Москва,3.0,66.09,35.5,12.1,3.0,Косметический
19986,6678609.0,Новостройка,Красногвардейская,11.0,Московская область,3.0,58.32,39.5,5.5,6.0,Косметический
19985,7385723.0,Новостройка,Красногвардейская,12.0,Московская область,3.0,58.44,39.7,5.5,13.0,Косметический
